timestamp,ticker,signal,confidence,reason
2026-08-17T12:56:59,AAPL,BUY,High,"Sentiment reversal neg→pos (prev=-0.60, now=0.60)"
2026-08-17T12:56:59,MSFT,SELL,High,Score drop -0.60 with price +0.5%
2026-08-17T12:56:59,AMZN,SELL,High,"Sentiment reversal pos→neg (prev=0.60, now=-0.30)"
2026-08-16T12:52:26,AAPL,SELL,High,Score drop -0.35 with price +0.7%
2026-08-16T12:52:26,NVDA,SELL,High,Score drop -0.60 with price +0.0%
2026-08-16T12:52:26,TSLA,SELL,High,Score drop -0.30 with price +0.7%
2026-08-16T12:52:26,AMZN,BUY,High,Score spike +0.40 with price -0.9%
2026-08-15T12:51:23,AAPL,SELL,High,"Sentiment reversal pos→neg (prev=0.10, now=-0.30)"
2026-08-15T12:51:23,MSFT,SELL,High,Score drop -0.50 with price +0.5%
2026-08-14T13:21:43,TSLA,BUY,High,"Sentiment reversal neg→pos (prev=-0.30, now=0.30)"
2026-08-14T13:21:43,MSFT,SELL,High,Score drop -0.40 with price +0.0%
2026-08-13T13:27:15,AAPL,BUY,High,"Sentiment reversal neg→pos (prev=-0.60, now=0.30)"
2026-08-13T13:27:15,MSFT,BUY,High,"Sentiment reversal neg→pos (prev=-0.30, now=0.30)"
2026-08-11T13:21:28,AAPL,SELL,Medium,"Sustained negative for 3 runs (scores: ['-0.60', '-0.65', '-0.65'])"
2026-08-11T13:21:28,NVDA,BUY,Medium,Price dropped -2.3% but sentiment=0.60 (overreaction)
2026-08-11T13:21:28,TSLA,SELL,High,"Sentiment reversal pos→neg (prev=0.10, now=-0.60)"
2026-08-09T13:05:55,NVDA,BUY,High,"Sentiment reversal neg→pos (prev=-0.30, now=0.30)"
2026-08-08T13:03:04,AAPL,BUY,High,Score spike +0.30 with price -0.1%
2026-08-08T13:03:04,AMZN,BUY,High,"Sentiment reversal neg→pos (prev=-0.30, now=0.60)"
2026-08-07T13:19:06,AAPL,BUY,High,"Sentiment reversal neg→pos (prev=-0.30, now=0.30)"
2026-08-07T13:19:06,NVDA,SELL,High,"Sentiment reversal pos→neg (prev=0.20, now=-0.30)"
2026-08-07T13:19:06,AMZN,BUY,High,"Sentiment reversal neg→pos (prev=-0.30, now=0.60)"
2026-08-06T14:28:24,AAPL,SELL,High,"Sentiment reversal pos→neg (prev=0.20, now=-0.30)"
2026-08-05T14:25:14,AAPL,BUY,High,"Sentiment reversal neg→pos (prev=-0.30, now=0.30)"
2026-08-05T14:25:14,TSLA,SELL,High,"Sentiment reversal pos→neg (prev=0.30, now=-0.30)"
2026-08-05T14:25:14,AMZN,BUY,High,"Sentiment reversal neg→pos (prev=-0.30, now=0.60)"
2026-08-04T14:33:07,TSLA,SELL,High,"Sentiment reversal pos→neg (prev=0.20, now=-0.35)"
2026-08-04T14:33:07,AMZN,SELL,High,"Sentiment reversal pos→neg (prev=0.70, now=-0.60)"
2026-08-03T14:56:19,AAPL,SELL,High,"Sentiment reversal pos→neg (prev=0.20, now=-0.30)"
2026-08-03T14:56:19,TSLA,SELL,High,"Sentiment reversal pos→neg (prev=0.30, now=-0.60)"
2026-08-03T14:56:19,MSFT,SELL,High,Score drop -0.40 with price +6.5%
2026-08-02T13:43:45,AAPL,BUY,High,Score spike +0.50 with price -8.7%
2026-08-02T13:43:45,TSLA,BUY,High,"Sentiment reversal neg→pos (prev=-0.30, now=0.30)"
2026-08-01T13:43:51,AAPL,BUY,High,Score spike +0.45 with price -8.7%
2026-08-01T13:43:51,NVDA,SELL,High,Score drop -0.60 with price +0.1%
2026-08-01T13:43:51,TSLA,BUY,High,"Sentiment reversal neg→pos (prev=-0.30, now=0.30)"
2026-08-01T13:43:51,MSFT,SELL,High,Score drop -0.70 with price +1.7%
2026-07-31T14:25:40,TSLA,SELL,High,"Sentiment reversal pos→neg (prev=0.20, now=-0.30)"
2026-07-30T14:22:29,AAPL,BUY,High,Score spike +0.50 with price -2.7%
2026-07-30T14:22:29,NVDA,SELL,High,"Sentiment reversal pos→neg (prev=0.30, now=-0.60)"
2026-07-30T14:22:29,TSLA,SELL,Medium,"Sustained negative for 3 runs (scores: ['-0.70', '-0.80', '-0.60'])"
2026-07-29T14:25:08,AAPL,SELL,High,Score drop -0.30 with price +1.1%
2026-07-29T14:25:08,AMZN,BUY,High,Score spike +0.50 with price -1.0%
2026-07-28T14:26:51,NVDA,SELL,High,"Sentiment reversal pos→neg (prev=0.60, now=-0.60)"
2026-07-28T14:26:51,TSLA,BUY,High,Score spike +0.50 with price -1.9%
2026-07-27T14:52:34,TSLA,SELL,Medium,"Sustained negative for 3 runs (scores: ['-0.60', '-0.60', '-0.60'])"
2026-07-26T13:44:19,TSLA,SELL,Medium,"Sustained negative for 3 runs (scores: ['-0.60', '-0.70', '-0.60'])"
2026-07-26T13:44:19,AMZN,BUY,High,Score spike +0.40 with price -0.8%
2026-07-25T13:51:29,NVDA,SELL,High,"Sentiment reversal pos→neg (prev=0.30, now=-0.30)"
2026-07-25T13:51:29,TSLA,BUY,High,Score spike +0.30 with price -2.9%
